relative_humidity,dry_bulb_temp_f,precip,wind_speed,station_pressure
87.0,73.0,0.0,5.0,30.16
57.0,53.0,,15.0,29.98
,,,,
50.0,58.0,0.0,14.0,30.03
76.0,75.0,,5.0,29.69
100.0,72.0,,8.0,29.84
56.0,59.0,0.0,14.0,29.88
77.0,54.0,,13.0,29.76
81.0,39.0,0.05,10.0,30.44
84.0,68.0,0.0,7.0,29.94
88.0,75.0,0.0,9.0,29.96
56.0,65.0,0.0,11.0,29.94
53.0,52.0,0.0,11.0,30.17
94.0,68.0,0.03,18.0,29.68
35.0,40.0,0.0,3.0,30.28
82.0,36.0,0.0,9.0,29.89
37.0,34.0,0.0,29.0,30.0
84.0,70.0,0.08,9.0,29.89
59.0,37.0,0.0,13.0,29.9
62.0,38.0,,14.0,29.97
65.0,64.0,0.0,10.0,29.96
43.0,43.0,0.0,16.0,29.85
94.0,57.0,,0.0,30.31
86.0,51.0,,11.0,29.72
100.0,54.0,0.02,9.0,30.19
90.0,68.0,0.06,24.0,29.68
100.0,59.0,0.0,5.0,29.92
87.0,32.0,0.0,24.0,29.59
47.0,55.0,0.0,5.0,30.11
65.0,68.0,0.0,3.0,30.24
81.0,73.0,0.0,8.0,29.59
28.0,44.0,0.0,26.0,29.67
96.0,42.0,0.0,3.0,29.88
88.0,50.0,0.0,11.0,29.78
100.0,54.0,0.0,13.0,29.73
85.0,78.0,0.0,6.0,30.25
,,,,
58.0,62.0,0.0,14.0,29.91
54.0,63.0,0.0,30.0,29.93
90.0,62.0,0.0,6.0,30.14
84.0,62.0,0.0,7.0,30.1
71.0,80.0,0.0,10.0,30.01
63.0,61.0,0.0,9.0,30.22
71.0,80.0,0.0,25.0,29.78
64.0,36.0,0.0,11.0,30.03
51.0,65.0,0.0,10.0,30.09
93.0,66.0,,3.0,30.21
69.0,79.0,0.0,10.0,29.64
49.0,44.0,0.0,6.0,30.04
69.0,52.0,,0.0,30.14
76.0,35.0,0.0,8.0,30.13
52.0,66.0,0.0,9.0,29.81
50.0,35.0,0.0,3.0,30.14
41.0,82.0,0.0,9.0,30.0
87.0,56.0,0.31,14.0,29.86
16.0,42.0,0.0,7.0,30.23
93.0,63.0,,11.0,30.19
87.0,73.0,0.0,3.0,29.81
87.0,72.0,,3.0,29.86
76.0,69.0,0.0,11.0,29.86
82.0,77.0,0.0,14.0,29.83
81.0,71.0,0.0,3.0,29.86
58.0,80.0,0.0,10.0,30.01
66.0,84.0,,6.0,29.99
32.0,52.0,,3.0,29.98
78.0,61.0,0.0,14.0,29.73
72.0,29.0,0.0,10.0,30.44
81.0,43.0,0.01,13.0,29.99
53.0,41.0,0.0,6.0,30.37
76.0,74.0,0.0,13.0,29.98
71.0,51.0,0.0,0.0,30.47
80.0,43.0,0.0,10.0,29.91
84.0,65.0,0.0,18.0,29.88
38.0,53.0,0.0,8.0,29.87
64.0,49.0,0.0,9.0,30.2
49.0,65.0,0.0,22.0,30.06
93.0,41.0,0.0,7.0,29.95
71.0,46.0,,5.0,30.32
78.0,58.0,,8.0,30.14
71.0,77.0,,13.0,29.85
53.0,67.0,0.0,7.0,30.29
86.0,49.0,0.0,6.0,29.99
42.0,12.0,0.0,9.0,30.46
96.0,32.0,0.0,5.0,30.52
54.0,79.0,0.0,17.0,30.01
90.0,57.0,0.0,3.0,29.89
69.0,80.0,0.0,20.0,30.0
62.0,55.0,0.0,18.0,29.72
70.0,58.0,0.0,14.0,30.14
